ID,Airline name ,Travel,Time,Stops,Ticket prize(Doller),Depreture  Airport,Depreture Time,1st Stoppage Waiting Hour,1st Stoppage,2nd StoppageWaiting Time,2nd Stoppage,3rd Stoppage Waiting time,3rd Stoppage,Destination Airport,Arrival Time,Arrival Date
1259,Multiple,31h,15m,2,4842,DAC,12:50a,5h 0m,CAN,5h 40m,TPE,,,JFK,10:05p,
1260,Multiple,26h,45m,2,4668,DAC,02:10a,4h 10m,HKG,3h 35m,ICN,,,LAS,03:55p,Shortest Duration
1261,Multiple,26h,40m,2,4584,DAC,02:10a,2h 40m,HKG,3h 25m,YYZ,,,LGA,06:50p,
1262,Multiple,25h,43m,2,4584,DAC,02:10a,2h 40m,HKG,2h 25m,YYZ,,,EWR,05:53p,
1263,Multiple,27h,40m,2,4253,DAC,02:20a,2h 30m,JED,3h 32m,IAD,,,JFK,08:00p,
1264,Multiple,26h,53m,3,4100,DAC,12:50a,4h 35m,CAN,1h 25m,ICN,,,LAS,02:43p,
1265,Multiple,26h,53m,3,4099,DAC,12:50a,4h 35m,CAN,1h 25m,ICN,,,LAS,02:43p,
1266,Qatar,49h,33m,2,4000,DAC,05:30a,17h 10m,DOH,9h 25m,LAX,,,LAS,06:03p,   Apr 8
1267,Qatar,46h,28m,2,4000,DAC,05:30a,17h 10m,DOH,6h 20m,LAX,,,LAS,02:58p,   Apr 8
1268,Qatar,42h,57m,2,4000,DAC,05:30a,17h 10m,DOH,2h 49m,LAX,,,LAS,11:27a,   Apr 8
1269,Qatar,44h,13m,2,3996,DAC,10:50a,11h 50m,DOH,9h 25m,LAX,,,LAS,06:03p,   Apr 8
1270,Qatar,41h,8m,2,3996,DAC,10:50a,11h 50m,DOH,6h 20m,LAX,,,LAS,02:58p,   Apr 8
1271,Qatar,37h,37m,2,3996,DAC,10:50a,11h 50m,DOH,2h 49m,LAX,,,LAS,11:27a,   Apr 8
1272,Qatar,33h,33m,2,3996,DAC,09:30p,1h 10m,DOH,9h 25m,LAX,,,LAS,06:03p,   Apr 8
1273,Qatar,30h,28m,2,3996,DAC,09:30p,1h 10m,DOH,6h 20m,LAX,,,LAS,02:58p,   Apr 8
1274,Qatar,26h,57m,2,3996,DAC,09:30p,1h 10m,DOH,2h 49m,LAX,,,LAS,11:27a,   Apr 8
1275,Multiple,22h,10m,2,3993,DAC,02:10a,55m,HKG,,,,,DXB,10:20p,
1276,Multiple,45h,44m,2,3961,DAC,09:20a,20h 10m,DXB,2h 22m,SFO,,,LAS,06:04p,   Apr 8
1277,Multiple,33h,9m,2,3961,DAC,09:55p,7h 40m,DXB,2h 22m,SFO,,,LAS,06:04p,   Apr 8
1278,Multiple,47h,43m,2,3878,DAC,09:20a,20h 55m,DXB,4h 10m,SEA,,,LAS,08:03p,   Apr 8
1279,Multiple,43h,25m,2,3835,DAC,02:10a,16h 45m,HKG,8h 40m,SFO,,,LAS,08:35a,   Apr 8
1280,Multiple,23h,30m,2,3606,DAC,12:50a,4h 0m,CAN,,,,,DXB,10:20p,
1281,Multiple,23h,30m,2,3606,DAC,12:50a,3h 10m,CAN,,,,,DXB,10:20p,
1282,Emirates,39h,5m,1,3352,DAC,09:20a,19h 30m,DXB,,,,,JFK,02:25p,
1283,Emirates,33h,30m,1,3352,DAC,09:20a,13h 50m,DXB,,,,,JFK,08:50a,   Apr 8
1284,Emirates,26h,30m,1,3352,DAC,09:55p,7h 0m,DXB,,,,,JFK,02:25p,   Apr 8
1285,Multiple,19h,15m,2,3307,DAC,12:50a,1h 50m,CAN,,,,,DXB,06:05p,
1286,Qatar,28h,33m,2,3231,DAC,03:35a,1h 55m,DOH,3h 45m,SFO,,,LAS,07:08p,
1287,Cathay Pacific,54h,17m,2,3163,DAC,02:10a,16h 0m,HKG,20h 0m,LAX,,,LAS,07:27p,   Apr 8
1288,Multiple,49h,48m,2,3130,DAC,02:10a,16h 0m,HKG,15h 30m,LAX,,,LAS,02:58p,   Apr 8
1289,Multiple,25h,0m,2,3114,DAC,07:30p,2h 55m,DXB,1h 30m,LHR,,,EWR,10:30a,   Apr 8
1290,Multiple,48h,11m,2,3093,DAC,10:10a,11h 5m,DEL,12h 5m,EWR,,,LAS,09:21p,   Apr 8
1291,Multiple,25h,0m,2,3092,DAC,07:30p,2h 55m,DXB,1h 30m,LHR,,,EWR,10:30a,   Apr 8
1292,Emirates,55h,0m,2,3078,DAC,09:55p,14h 15m,DXB,19h 40m,MXP,,,JFK,06:55p,   Apr 8
1293,Emirates,43h,35m,2,3078,DAC,09:20a,2h 45m,DXB,19h 40m,MXP,,,JFK,06:55p,   Apr 9
1294,Multiple,23h,45m,2,3067,DAC,06:35a,1h 45m,IST,1h 15m,FRA,,,EWR,08:20p,   Apr 8
1295,Multiple,23h,30m,2,3067,DAC,06:35a,1h 45m,IST,1h 0m,FRA,,,JFK,08:05p,
